Type of Event,Event Details,Event Date,Apply Closing Date,Link
"Gandhi Shilp Bazar National, States, District",GSB (State) at Kullu,27/02/2026 to 08/03/2026,10/11/2025 23:45,https://indian.handicrafts.gov.in/en/events/events-apply/NTgx
"Gandhi Shilp Bazar National, States, District",GSB (State) at Udaipur,15/02/2026 to 24/02/2026,31/10/2025 23:45,https://indian.handicrafts.gov.in/en/events/events-apply/NTc3
"Gandhi Shilp Bazar National, States, District",GSB (District) at Bareilly UH,01/02/2026 to 07/02/2026,31/10/2025 23:45,https://indian.handicrafts.gov.in/en/events/events-apply/NTc5
"Gandhi Shilp Bazar National, States, District",GSB (District) at Shimla,10/02/2026 to 16/02/2026,31/10/2025 23:45,https://indian.handicrafts.gov.in/en/events/events-apply/NTgw
"Gandhi Shilp Bazar National, States, District",GSB (District) at Puri UH,06/02/2026 to 12/02/2026,31/10/2025 23:30,https://indian.handicrafts.gov.in/en/events/events-apply/NTc4
"Gandhi Shilp Bazar National, States, District",GSB (State) at Bokaro,25/01/2026 to 03/02/2026,10/10/2025 23:45,https://indian.handicrafts.gov.in/en/events/events-apply/NTYx
"Gandhi Shilp Bazar National, States, District",GSB (State) at Cuttack,26/01/2026 to 04/02/2026,10/10/2025 23:45,https://indian.handicrafts.gov.in/en/events/events-apply/NDQy
"Gandhi Shilp Bazar National, States, District",GSB (District) at Purnia,15/11/2025 to 21/11/2025,10/10/2025 23:45,https://indian.handicrafts.gov.in/en/events/events-apply/NTg2
"Gandhi Shilp Bazar National, States, District",GSB (District) at Gangtok,18/01/2026 to 24/01/2026,10/10/2025 23:45,https://indian.handicrafts.gov.in/en/events/events-apply/NTYw
"Gandhi Shilp Bazar National, States, District",GSB (District) at Jammu UH,15/01/2026 to 21/01/2026,10/10/2025 23:45,https://indian.handicrafts.gov.in/en/events/events-apply/NTU5
