Type of Event,Event Details,Event Date,Apply Closing Date,Link,Closing Date for Apply,Closing Time for Apply,Event Start Date,Event End Date,location,latitude,longitude
"Gandhi Shilp Bazar National, States, District",GSB (State) at Kullu,27/02/2026 to 08/03/2026,2025-11-10 23:45:00,https://indian.handicrafts.gov.in/en/events/events-apply/NTgx,2025-11-10,23:45:00,2026-02-27,2026-03-08,Kullu,31.9591246,77.1091991
"Gandhi Shilp Bazar National, States, District",GSB (State) at Udaipur,15/02/2026 to 24/02/2026,2025-10-31 23:45:00,https://indian.handicrafts.gov.in/en/events/events-apply/NTc3,2025-10-31,23:45:00,2026-02-15,2026-02-24,Udaipur,24.585445,73.712479
"Gandhi Shilp Bazar National, States, District",GSB (District) at Bareilly UH,01/02/2026 to 07/02/2026,2025-10-31 23:45:00,https://indian.handicrafts.gov.in/en/events/events-apply/NTc5,2025-10-31,23:45:00,2026-02-01,2026-02-07,Bareilly UH,28.3670355,79.4304381
"Gandhi Shilp Bazar National, States, District",GSB (District) at Shimla,10/02/2026 to 16/02/2026,2025-10-31 23:45:00,https://indian.handicrafts.gov.in/en/events/events-apply/NTgw,2025-10-31,23:45:00,2026-02-10,2026-02-16,Shimla,31.104963,77.1639874
"Gandhi Shilp Bazar National, States, District",GSB (District) at Puri UH,06/02/2026 to 12/02/2026,2025-10-31 23:30:00,https://indian.handicrafts.gov.in/en/events/events-apply/NTc4,2025-10-31,23:30:00,2026-02-06,2026-02-12,Puri UH,19.8134554,85.8312359
"Gandhi Shilp Bazar National, States, District",GSB (State) at Bokaro,25/01/2026 to 03/02/2026,2025-10-10 23:45:00,https://indian.handicrafts.gov.in/en/events/events-apply/NTYx,2025-10-10,23:45:00,2026-01-25,2026-02-03,Bokaro,23.6692956,86.15111200000001
"Gandhi Shilp Bazar National, States, District",GSB (State) at Cuttack,26/01/2026 to 04/02/2026,2025-10-10 23:45:00,https://indian.handicrafts.gov.in/en/events/events-apply/NDQy,2025-10-10,23:45:00,2026-01-26,2026-02-04,Cuttack,20.462521,85.8829895
"Gandhi Shilp Bazar National, States, District",GSB (District) at Purnia,15/11/2025 to 21/11/2025,2025-10-10 23:45:00,https://indian.handicrafts.gov.in/en/events/events-apply/NTg2,2025-10-10,23:45:00,2025-11-15,2025-11-21,Purnia,25.7771391,87.4752551
"Gandhi Shilp Bazar National, States, District",GSB (District) at Gangtok,18/01/2026 to 24/01/2026,2025-10-10 23:45:00,https://indian.handicrafts.gov.in/en/events/events-apply/NTYw,2025-10-10,23:45:00,2026-01-18,2026-01-24,Gangtok,27.3313512,88.6138113
"Gandhi Shilp Bazar National, States, District",GSB (District) at Jammu UH,15/01/2026 to 21/01/2026,2025-10-10 23:45:00,https://indian.handicrafts.gov.in/en/events/events-apply/NTU5,2025-10-10,23:45:00,2026-01-15,2026-01-21,Jammu UH,32.7266016,74.8570259
